city1,city2
Sonnborner,Wennemen
Sonsbeck,Uedem
Spich,Troisdorf
Sprockhövel,Witten
Staakow,Teupitz
Stadelhofen,Thurnau
Stadtroda,Uhyst
Stadtzubringer,Stetten
Stapelfeld,Stuckenborstel
Steinau,Wallau
Stetten,Wangen
St.Ingbert,Sulzbach
Stockstadt,Straubing
Stollberg,Treuen
Stolpe,Waidmannsluster
Stotel,Uthlede
Straelen,Wachtendonk
Straubing,Tennenlohe
Stromberg,Swisttal
Stuckenborstel,Tholey
Stuttgart,Sulz
Stuttgart,Sulzemoos
Suckow,Talkau
Sulz,Tauberbischofsheim
Sulzbach,Waidhaus
Sulzemoos,Traunstein
Swisttal,Titz
Talkau,Wittenburg
Tarp,Thieshope
Tauberbischofsheim,Tuningen
Teningen,Walldorf
Tennenlohe,Velburg
Teublitz,Thiersheim
Teupitz,Thiendorf
Thaleischweiler,Weselberg
Theeßen,Veltheim
Thiersheim,Weiden
Thieshope,Uffenheim
Tholey,Unna
Thurnau,Viereth
Titz,Türnich
Titz,Velbert
Traunstein,Ulm
Treuen,Zwickau
Triptis,Trockau
Türnich,Viersen
Trockau,Vockerode
Troisdorf,Wahn
Tuningen,Villingen
Twist,Veenhusen
Uedem,Worringen
Uffenheim,Vöhringen
Uhyst,Untereschbach
Ulm,Walshausen
Unna,Uphusen
Untereschbach,Waltershausen
Uphusen,Vechta
Uthlede,Verden
Varel,Wardenburg
Vechta,Volmarstein
Veenhusen,Weener
Velbert,Warburg
Velburg,Weibersbrunn
Veltheim,Wollin
Verden,Walsrode
Vöhringen,Warder
Vienenburg,Westerode
Viereth,Werneck
Viersen,Waldlaubersheim
Villingen,Weinsberg
Völklingen,Wadgassen
Vockerode,Weißenfels
Volmarstein,Wermelskirchen
Wachtendonk,Wankum
Wadgassen,Wallerfangen
Waidhaus,Waldmohr
Waldlaubersheim,Wehr
Waldmohr,Wattenheim
Wallau,Wiesbaden
Walldorf,Weil
Wallersdorf,Wörth
Walshausen,Wendlingen
Waltershausen,Wandersleben
Wandersleben,Weißenberg
Wandlitz,Warnitz
Wangen,Weißensberg
Warburg,Witten
Wardenburg,Wilhelmshaven
Warder,Westenholz
Warnitz,Werbellin
Wartjenstedt,Westerlinde
Wattenheim,Wiesloch
Waxweiler,Winterspelt
Weener,Wesuwe
Wehr,Weilerswist
Weißenberg,Weimar
Weißenfels,Weidensees
Weißensberg,Windach
Weibersbrunn,Wertheim
Weiden,Wernberg
Weidensees,Wiedemar
Weil,Weiterstadt
Weilerswist,Worms
Weimar,Weisweiler
Weisweiler,Wenden
Weiterstadt,Zeppelinheim
Wenden,Wildeck
Wendlingen,Weyarn
Wennemen,Wuppertal
Werl,Wickede
Wermelskirchen,Wißkirchen
Wernberg,Wiesau
Wertheim,Wesel
Wesel,Wiesbaden
Westenholz,Woringen
Westerlinde,Wolfsburg
Westerode,Wolfenbüttel
Westerstede,Zwischenahner
Wetzlar,Wilnsdorf
Weyarn,Zusmarshausen
Wißkirchen,Wildeshausen
Wiedemar,Zörbig
Wiesau,Windischeschenbach
Wiesbaden,Wiesentheid
Wiesentheid,Wörth
Wildeck,Wilsdruff
Wildeshausen,Wittlich
Wilhelmshaven,Zetel
Wilnsdorf,Wölfersheim
Wilsdruff,Wommen
Windach,Wörthsee
Windischeschenbach,Wolnzach
Winnweiler,Wörrstadt
Witten,Zierenberg
Wittenburg,Witzhave
Wittlich,Wuppertal
Witzhave,Zarrentin
Wollin,Wunstorf
Wolnzach,Wunsiedel
Wommen,Wüstenbrand
Woringen,Wörnitz
Wörnitz,Würzburg
Wörth,Würzburg
Wunstorf,Ziesar
Zeppelinheim,Zwingenberg
Zusmarshausen,Zweibrücken
